IP/DOMAIN,MAC,Port/Code,Name,CheckType,Category,NetworkNum,CheckInv,LimitValue,Enabled,LCDTEXT,LCDSTATUS
192.168.88.250,B8:27:EB:BE:66:5F,0,VpnPi3,PING,IP,88,5,2000,0,0,100
192.168.89.1,6C:3B:6B:45:C3:F2,0,RouterOS,PING,IP,88,5,2000,1,101,201
https://192.168.89.3,747D24662610,403,VpnRouter,HTTPS,URL,0,30,2000,1,102,202
192.168.88.26,18:BC:5A:18:FF:7E,0,Mobile,PING,IP,88,5,2000,1,103,203
192.168.88.34,28:56:5A:A6:FC:8F,0,Printer,PING,IP,88,5,2000,1,104,204
192.168.88.23,F0:18:98:0F:55:43,0,Mac,PING,IP,88,5,2000,0,0,100
192.168.123.225,44070B63ABA0,0,Google Home,PING,IP,123,5,2000,1,105,205
192.168.123.249,B4430DCC1A97,0,Broadlink RMMINI,PING,IP,123,5,2000,0,0,100
192.168.123.216,,0,MODBUS,PING,IP,123,5,2000,1,106,206
192.168.123.218,B4430DD2BBC4,0,BroadLink SPmini,PING,IP,123,5,2000,0,0,100
192.168.123.201,B4430DAAB1FE,0,Broadlink SP2,PING,IP,123,5,2000,0,0,100
192.168.123.231,B4430DC7455B,0,Bedroom Broadlink,PING,IP,123,5,2000,1,107,207
192.168.123.232,34:EA:34:58:64:3E,0,Living Broadlink,PING,IP,123,5,2000,1,108,208
192.168.123.204,98F2B3F13CE4,0,HP Server,PING,IP,123,5,2000,1,109,209
192.168.123.184,04CF8CA06334,0,Xiaomi Gateway,PING,IP,123,5,2000,1,110,210
192.168.123.165,DCA63269C05A,0,HA Server,PING,IP,123,5,2000,1,111,211
https://192.168.123.165:38123,,200,HA Core,HTTPS,URL,0,30,2000,1,112,212
192.168.123.253,,0,Shadowsocks,PING,IP,123,5,2000,1,113,213
hoho.im,,0,HOHO PING,PING,DOMAIN,0,30,5000,1,114,214
127.0.0.1,,57601,Zigbee Adapter,TELNET,IP,0,60,2000,1,115,215
https://www.jd.com,,200,Internet_JD,HTTPS,URL,0,30,2000,1,116,216
https://hoho.im,,200,HOHO Web,HTTPS,URL,0,30,3000,1,117,217
https://www.google.com.tw,,200,Google Service,HTTPS,URL,0,30,3000,1,118,218
